Price,Open,High,Low,Close
Ticker,SPY,SPY,SPY,SPY
Date,,,,
2025-04-01,555.8068841455135,561.2806921988606,552.0479770454208,559.3164672851562
2025-04-02,553.4139605782862,565.747494747627,553.1746777226398,562.8560791015625
2025-04-03,543.5032260055101,546.3547813001727,535.1180419921875,535.1180419921875
2025-04-04,522.1264277357504,524.3199552475792,503.57129666287966,503.7906494140625
2025-04-07,487.74808166979307,521.6279038372442,480.37984959166755,502.893310546875
2025-04-08,520.321766684984,523.432565399183,487.71817046987917,495.0166015625
2025-04-09,491.98558084417215,547.0029296875,491.5967157695939,547.0029296875
2025-04-10,530.6013458963056,531.9274425958545,507.8187234468108,523.0337524414062
2025-04-11,521.4683746979002,534.8488005902628,518.5370382681921,532.3661499023438
2025-04-14,542.4463448071801,542.6757082402244,532.2863784402284,537.5308837890625
2025-04-15,538.079255112781,541.6287592452915,535.2276998357879,536.0253295898438
2025-04-16,530.1128095536914,536.3045268284891,518.7563681804631,524.1105346679688
2025-04-17,526.0847532599682,529.604316656272,522.3657063534529,524.8583374023438
2025-04-21,519.6238052831814,520.1622525299349,506.96125797993665,512.3652954101562
2025-04-22,518.6068942866489,527.7398682752878,517.6596822546041,525.6959228515625
2025-04-23,538.8370393033936,543.8223014706125,532.306358035387,533.841796875
2025-04-24,535.137968583152,545.8164223668259,533.8717533370633,545.07861328125
2025-04-25,545.0387382920208,549.4257324957449,542.0874411745963,549.0169677734375
2025-04-28,549.7647656303432,551.9183721484593,543.4135463851055,549.226318359375
2025-04-29,547.2920086038646,553.8127702769649,546.9330843434874,552.6860961914062
2025-04-30,545.9560300157574,554.8796618213433,539.9238747243568,552.9054565429688
2025-05-01,558.7182765361568,562.4073827721945,556.2156651498251,556.8238525390625
2025-05-02,563.0653709624233,566.7046364907385,560.7223222120272,565.0894165039062
2025-05-05,560.9117673476358,564.9797581165675,560.0443366413908,561.8489990234375
2025-05-06,556.2854623092777,561.6894695117311,555.3183506499339,557.1528930664062
2025-05-07,558.4989192920236,562.1580845152806,554.4009877287364,559.4959716796875
2025-05-08,563.5739323580718,568.6289957190513,560.0443884974118,563.3944702148438
2025-05-09,564.8102205798259,565.8272334952061,561.1012148853195,562.6765747070312
2025-05-12,579.7560672258437,581.2815867067962,575.3391321114739,581.2716064453125
2025-05-13,581.6903470478828,587.343678293745,581.1220807001266,585.1102905273438
2025-05-14,586.0774155967079,587.2439499583633,583.8140869943453,585.8580932617188
2025-05-15,583.8340232035316,589.2280501171933,583.3753571741278,588.7196044921875
2025-05-16,589.5072306166389,592.7476509117832,587.5430666021017,592.4485473632812
2025-05-19,586.3665146930052,593.784587269064,586.3665146930052,593.0966186523438
2025-05-20,591.341882776371,592.2990142108393,587.8621184990102,591.1025390625
2025-05-21,586.7055374013049,590.8333490882792,580.1050551487234,581.1419677734375
2025-05-22,580.942551785946,584.8909013825514,579.6962362276395,581.371337890625
2025-05-23,574.2822361785879,580.0950688548037,573.9033513887334,577.4030151367188
2025-05-27,584.3425491795706,589.5670943925401,576.725053693289,589.4075927734375
2025-05-28,589.8163475692377,591.0228029471133,585.2598105493923,585.9976196289062
2025-05-29,591.3119286527991,591.4515306022613,584.342541704147,588.310791015625
2025-05-30,587.194104951146,589.3876325602934,581.5208739520402,587.6527709960938
2025-06-02,586.0275300945058,591.0426720366128,583.3354764354921,590.9629516601562
2025-06-03,590.5940612123461,595.3200799781005,590.1054544048488,594.3330078125
2025-06-04,595.2004551527299,596.1875273458553,593.7347563998676,594.1734619140625
2025-06-05,595.8684581600321,597.2344151426059,589.3078360260068,591.3019409179688
2025-06-06,596.8953968767723,599.0590445233215,595.1007146259882,597.3740234375
2025-06-09,597.9522747414663,599.477794222525,596.7259196839311,597.9124145507812
2025-06-10,598.4507520987654,601.6911723434343,597.3241388928317,601.3023681640625
2025-06-11,602.4091389302424,603.2765697174132,597.5036577794746,599.5874633789062
2025-06-12,598.2414316391353,601.9703979492188,597.7528856906831,601.9703979492188
2025-06-13,596.73587404184,600.0759753105004,593.7247562563699,595.2402954101562
2025-06-16,598.6303165073551,602.6683667667999,598.4507935133779,600.903564453125
2025-06-17,598.4408921774705,599.9763310919831,595.0010489432416,595.768798828125
2025-06-18,596.6760685598517,599.4478427165867,594.711843595377,595.6790161132812
2025-06-20,598.3800048828125,599.4600219726562,592.8599853515625,594.280029296875
2025-06-23,595.0399780273438,600.5399780273438,591.8900146484375,600.1500244140625
2025-06-24,604.3300170898438,607.8499755859375,603.4099731445312,606.780029296875
2025-06-25,607.9099731445312,608.6099853515625,605.5399780273438,607.1199951171875
2025-06-26,608.989990234375,612.3099975585938,608.3699951171875,611.8699951171875
2025-06-27,612.8800048828125,616.3900146484375,610.8300170898438,614.9099731445312
2025-06-30,617.3800048828125,619.219970703125,615.0399780273438,617.8499755859375
2025-07-01,616.3599853515625,618.8300170898438,615.52001953125,617.6500244140625
2025-07-02,617.239990234375,620.489990234375,616.6099853515625,620.4500122070312
2025-07-03,622.4500122070312,626.280029296875,622.4299926757812,625.3400268554688
2025-07-07,623.3599853515625,624.030029296875,617.8699951171875,620.6799926757812
2025-07-08,621.3499755859375,622.1099853515625,619.52001953125,620.3400268554688
2025-07-09,622.77001953125,624.719970703125,620.9099731445312,624.0599975585938
2025-07-10,624.2000122070312,626.8699951171875,623.010009765625,625.8200073242188
2025-07-11,622.739990234375,624.8599853515625,621.530029296875,623.6199951171875
2025-07-14,623.1599731445312,625.1599731445312,621.7999877929688,624.8099975585938
2025-07-15,627.52001953125,627.8599853515625,622.0599975585938,622.1400146484375
2025-07-16,623.739990234375,624.72998046875,618.0499877929688,624.219970703125
2025-07-17,624.4000244140625,628.4000244140625,624.1799926757812,628.0399780273438
2025-07-18,629.2999877929688,629.469970703125,626.4600219726562,627.5800170898438
2025-07-21,628.77001953125,631.5399780273438,628.3400268554688,628.77001953125
2025-07-22,629.0999755859375,629.72998046875,626.1900024414062,628.8599853515625
2025-07-23,631.5499877929688,634.2100219726562,629.72998046875,634.2100219726562
2025-07-24,634.5999755859375,636.1500244140625,633.989990234375,634.4199829101562
2025-07-25,635.0900268554688,637.5800170898438,634.8400268554688,637.0999755859375
2025-07-28,637.47998046875,638.0399780273438,635.5399780273438,636.9400024414062
2025-07-29,638.3499755859375,638.6699829101562,634.3400268554688,635.260009765625
2025-07-30,635.9199829101562,637.6799926757812,631.5399780273438,634.4600219726562
2025-07-31,639.4600219726562,639.8499755859375,630.77001953125,632.0800170898438
